TIME,LS-704,LS-705,LS-706,LS-707,LS-708,LS-709,LS-710,LS-711,LS-712,LS-713,LS-714,LS-715,LS-716,LS-717,LS-718,LS-719,LS-720,LS-721
320.2647760279404,1159.0,1082.8,1275.75,1282.25,1290.25,1483.0,1534.25,1939.66666667,1736.0,1600.5,1684.25,1607.75,1527.8,1642.4,1542.8,1343.66666667,1204.5,1180.33333333
324.7128979172174,1248.5,1092.8,1223.25,1354.25,1381.0,1493.33333333,1592.0,1950.33333333,1653.25,1634.75,1726.0,1538.5,1509.4,1663.4,1518.8,1353.33333333,1225.83333333,1170.83333333
329.1610198064943,1278.25,1147.0,1171.25,1381.0,1408.0,1503.66666667,1712.5,1949.66666667,1642.0,1625.75,1755.0,1581.0,1486.4,1702.0,1566.8,1345.16666667,1273.66666667,1158.5
333.60914169577126,1259.0,1139.4,1179.25,1361.5,1411.5,1536.33333333,1758.5,1943.0,1705.0,1650.0,1714.0,1625.0,1505.0,1698.8,1627.8,1347.33333333,1281.66666667,1162.66666667
338.05726358504825,1211.0,1110.8,1188.5,1350.75,1417.75,1523.0,1721.25,1981.33333333,1818.0,1629.0,1625.0,1587.25,1634.8,1590.8,1583.8,1383.5,1240.83333333,1178.0
342.5053854743252,1164.0,1122.4,1236.25,1283.75,1375.5,1428.0,1598.25,2028.33333333,1867.5,1576.5,1561.75,1560.5,1743.6,1482.0,1487.4,1405.33333333,1193.33333333,1163.5
346.9535073636021,1134.0,1120.8,1290.75,1177.5,1309.75,1352.33333333,1434.25,2020.0,1777.75,1575.0,1573.75,1572.0,1734.4,1451.8,1446.6,1381.5,1156.16666667,1149.33333333
351.40162925287905,1169.5,1098.6,1252.0,1109.0,1241.25,1381.33333333,1380.5,1956.0,1670.5,1632.75,1581.25,1588.75,1631.6,1519.4,1473.6,1320.16666667,1119.16666667,1170.5
355.84975114215604,1152.5,1039.8,1186.75,1096.75,1221.5,1485.0,1440.75,1950.0,1631.75,1708.25,1584.25,1608.25,1530.0,1658.4,1466.6,1281.16666667,1107.83333333,1224.16666667
360.29787303143297,1046.0,1024.0,1226.25,1127.25,1278.5,1516.66666667,1488.5,1967.33333333,1607.5,1745.5,1664.0,1634.0,1513.6,1755.4,1412.6,1275.5,1117.16666667,1234.66666667
364.7459949207099,1026.75,1047.2,1295.25,1178.25,1280.75,1495.33333333,1534.5,1940.0,1603.75,1733.0,1723.25,1594.0,1536.0,1683.0,1396.8,1286.83333333,1126.33333333,1159.33333333
369.1941168099869,1088.75,1024.8,1269.25,1215.0,1260.5,1523.33333333,1545.75,1906.66666667,1621.75,1667.75,1681.75,1519.5,1577.2,1564.4,1462.4,1291.83333333,1133.5,1100.5
373.6422386992638,1094.5,1012.4,1246.75,1253.0,1267.25,1510.0,1496.25,1967.33333333,1645.0,1620.75,1672.25,1525.5,1611.8,1553.2,1519.6,1285.5,1195.16666667,1087.5
378.09036058854076,1051.0,1019.6,1259.5,1308.75,1245.75,1453.33333333,1475.25,2070.33333333,1671.0,1660.25,1706.75,1536.25,1636.0,1642.4,1529.8,1311.66666667,1262.66666667,1126.5
382.53848247781775,1015.5,1077.8,1273.75,1316.25,1216.0,1383.33333333,1527.0,2094.0,1713.75,1699.0,1713.75,1527.75,1637.4,1711.8,1481.8,1343.16666667,1273.16666667,1147.5
386.9866043670947,999.0,1152.4,1233.75,1207.75,1264.5,1344.66666667,1587.5,2002.33333333,1725.75,1735.5,1719.25,1551.25,1616.4,1654.6,1412.8,1336.5,1242.16666667,1146.83333333
391.4347262563716,1029.5,1171.0,1174.25,1116.0,1296.0,1406.66666667,1649.75,1918.66666667,1678.5,1830.5,1769.75,1572.75,1578.2,1572.8,1380.0,1294.5,1214.5,1168.33333333
395.88284814564855,1159.5,1164.0,1257.75,1182.75,1322.0,1549.66666667,1741.5,2037.33333333,1700.25,1937.0,1817.0,1637.25,1623.2,1607.6,1464.4,1322.66666667,1251.83333333,1199.83333333
400.33097003492554,1371.25,1315.2,1557.5,1401.75,1560.5,1813.0,1915.25,2382.66666667,1902.25,2099.25,1960.75,1836.25,1883.2,1833.2,1689.8,1496.0,1401.66666667,1289.83333333
404.7790919242025,1611.25,1605.8,1898.0,1668.0,1913.0,2151.33333333,2158.75,2665.66666667,2260.0,2371.75,2225.5,2119.0,2147.6,2153.6,1943.4,1738.33333333,1658.33333333,1448.5
409.2272138134794,1739.0,1763.4,1974.25,1866.75,2050.5,2365.33333333,2311.75,2746.0,2508.25,2569.25,2413.0,2291.5,2182.6,2339.4,2066.8,1875.16666667,1842.66666667,1567.0
413.6753357027564,1760.5,1829.8,1970.25,1947.25,2098.25,2446.66666667,2342.0,2744.0,2580.25,2615.75,2495.0,2382.0,2141.4,2382.4,2143.8,1908.0,1925.83333333,1628.83333333
418.12345759203333,1871.5,1981.4,2090.5,2023.75,2214.0,2544.33333333,2436.5,2752.66666667,2636.5,2661.75,2611.0,2489.75,2243.0,2417.2,2266.0,1996.83333333,1999.16666667,1736.5
422.57157948131027,2051.75,2141.2,2236.5,2201.0,2380.25,2692.66666667,2589.75,2826.0,2782.75,2812.5,2753.5,2640.25,2484.2,2537.0,2435.0,2134.83333333,2055.83333333,1926.33333333
427.0197013705872,2163.0,2165.0,2315.0,2373.25,2543.5,2750.0,2667.25,2901.0,2916.75,2922.25,2846.75,2758.0,2631.6,2638.2,2548.4,2214.0,2070.0,2059.66666667
431.4678232598642,2128.0,2168.8,2355.25,2490.25,2522.0,2706.0,2676.25,2950.0,2916.25,2978.25,2887.75,2770.0,2655.8,2678.4,2526.6,2252.83333333,2079.16666667,2061.33333333
435.9159451491411,2068.5,2193.4,2395.5,2546.25,2415.5,2691.0,2687.0,2972.33333333,2886.25,3066.0,2901.75,2746.0,2699.6,2681.8,2521.2,2239.66666667,2094.0,2032.66666667
440.36406703841806,2121.25,2230.0,2427.25,2524.75,2481.75,2786.0,2728.75,3007.66666667,2992.5,3143.5,2942.25,2798.25,2828.4,2704.2,2644.6,2249.16666667,2154.0,2063.0
